Data,Local/Etapa,Prova,Atleta,Categoria,Tempo
14/09/2024,UNAMI - Tenis Clube Campinas,50m Borboleta,TIAGO BERNAL,Master,S/T
14/09/2024,UNAMI - Tenis Clube Campinas,100m Medley,TIAGO BERNAL,Master,S/T
14/09/2024,UNAMI - Tenis Clube Campinas,100m Medley,VOLKER PENK,Master,S/T
14/09/2024,UNAMI - Tenis Clube Campinas,50m Livre,LUCIANO DIAS GOBI,Master,S/T
15/03/2025,UNAMI - Pirassununga,50m Borboleta,HELENA KIYOKA KOBAYASHI NABEIRO,Master,S/T
15/03/2025,UNAMI - Pirassununga,50m Borboleta,MATIAS KOLBE,Master,S/T
15/03/2025,UNAMI - Pirassununga,50m Borboleta,TIAGO BERNAL,Master,S/T
15/03/2025,UNAMI - Pirassununga,200m Livre,MARIANE DE MORAES QUIRINO,Master,S/T
15/03/2025,UNAMI - Pirassununga,200m Livre,MATIAS KOLBE,Master,S/T
15/03/2025,UNAMI - Pirassununga,50m Livre,LUCIANO DIAS GOBI,Master,S/T
15/03/2025,UNAMI - Pirassununga,50m Peito,LUCIANO DIAS GOBI,Master,S/T
15/03/2025,UNAMI - Pirassununga,100m Medley,MARIANE DE MORAES QUIRINO,Master,S/T
15/03/2025,UNAMI - Pirassununga,100m Medley,HELENA KIYOKA KOBAYASHI NABEIRO,Master,S/T
15/03/2025,UNAMI - Pirassununga,100m Medley,MATIAS KOLBE,Master,S/T
15/03/2025,UNAMI - Pirassununga,100m Medley,TIAGO BERNAL,Master,S/T
15/03/2025,UNAMI - Pirassununga,50m Medley,LUCIANO DIAS GOBI,Master,S/T
16/05/2026,UNAMI - Catanduva,100m Peito,ANA REGINA OLIVAN LIMONGI,Master,S/T
16/05/2026,UNAMI - Catanduva,50m Borboleta,TIAGO BERNAL,Master,S/T
16/05/2026,UNAMI - Catanduva,50m Livre,HELENA KIYOKA KOBAYASHI NABEIRO,Master,S/T
16/05/2026,UNAMI - Catanduva,50m Peito,ANA REGINA OLIVAN LIMONGI,Master,S/T
16/05/2026,UNAMI - Catanduva,50m Peito,LUCIANO DIAS GOBI,Master,S/T
16/05/2026,UNAMI - Catanduva,200m Medley,ANA REGINA OLIVAN LIMONGI,Master,S/T
16/05/2026,UNAMI - Catanduva,200m Medley,TIAGO BERNAL,Master,S/T
16/05/2026,UNAMI - Catanduva,50m Costas,HELENA KIYOKA KOBAYASHI NABEIRO,Master,S/T
16/05/2026,UNAMI - Catanduva,25m Costas,TIAGO BERNAL,Master,S/T
20/06/2026,UNAMI - Araras,100m Borboleta,HELOÍSA DE SOUSA EVANGELISTA,Master,S/T
20/06/2026,UNAMI - Araras,100m Borboleta,ANA REGINA OLIVAN LIMONGI,Master,Ausente
20/06/2026,UNAMI - Araras,100m Borboleta,RAFAEL HIROSHI BRAZ DA SILVA,Master,S/T
20/06/2026,UNAMI - Araras,100m Borboleta,ÁLVARO LOUZADA DE OLIVEIRA JUNIOR,Master,S/T
20/06/2026,UNAMI - Araras,100m Borboleta,TIAGO BERNAL,Master,S/T
20/06/2026,UNAMI - Araras,50m Borboleta,EDUARDO TREVISAN GONCALVES,Master,S/T
20/06/2026,UNAMI - Araras,50m Livre,HELENA KIYOKA KOBAYASHI NABEIRO,Master,S/T
20/06/2026,UNAMI - Araras,50m Livre,CLAUDIA COLAMARINO,Master,S/T
20/06/2026,UNAMI - Araras,50m Livre,MURILO SANTOS,Master,S/T
20/06/2026,UNAMI - Araras,50m Livre,RAFAEL MELLO,Master,S/T
20/06/2026,UNAMI - Araras,50m Livre,RAFAEL HIROSHI BRAZ DA SILVA,Master,S/T
20/06/2026,UNAMI - Araras,50m Livre,ÁLVARO LOUZADA DE OLIVEIRA JUNIOR,Master,S/T
20/06/2026,UNAMI - Araras,50m Livre,FABIUS LUIZ PALARO,Master,S/T
20/06/2026,UNAMI - Araras,50m Costas,HELENA KIYOKA KOBAYASHI NABEIRO,Master,S/T
20/06/2026,UNAMI - Araras,50m Costas,CLAUDIA COLAMARINO,Master,S/T
20/06/2026,UNAMI - Araras,50m Costas,MURILO SANTOS,Master,S/T
20/06/2026,UNAMI - Araras,50m Costas,TIAGO BERNAL,Master,S/T
20/06/2026,UNAMI - Araras,50m Borboleta,TALITA CLIOGIA BARBOSA,Master,S/T
20/06/2026,UNAMI - Araras,50m Borboleta,HELOÍSA DE SOUSA EVANGELISTA,Master,S/T
20/06/2026,UNAMI - Araras,50m Borboleta,RAFAEL HIROSHI BRAZ DA SILVA,Master,S/T
20/06/2026,UNAMI - Araras,50m Borboleta,ÁLVARO LOUZADA DE OLIVEIRA JUNIOR,Master,S/T
20/06/2026,UNAMI - Araras,200m Costas,MURILO SANTOS,Master,S/T
20/06/2026,UNAMI - Araras,200m Costas,TIAGO BERNAL,Master,S/T
20/06/2026,UNAMI - Araras,50m Costas,EDUARDO TREVISAN GONCALVES,Master,S/T
20/06/2026,UNAMI - Araras,50m Peito,TALITA CLIOGIA BARBOSA,Master,S/T
20/06/2026,UNAMI - Araras,50m Peito,LARA FERREIRA DE SOUZA TONIN,Master,S/T
20/06/2026,UNAMI - Araras,50m Peito,ANA REGINA OLIVAN LIMONGI,Master,Ausente
20/06/2026,UNAMI - Araras,50m Peito,RAFAEL MELLO,Master,S/T
20/06/2026,UNAMI - Araras,50m Peito,LUCIANO DIAS GOBI,Master,S/T
20/06/2026,UNAMI - Araras,50m Peito,FABIUS LUIZ PALARO,Master,S/T
20/06/2026,UNAMI - Araras,200m Livre,TALITA CLIOGIA BARBOSA,Master,S/T
20/06/2026,UNAMI - Araras,200m Livre,HELOÍSA DE SOUSA EVANGELISTA,Master,S/T
20/06/2026,UNAMI - Araras,200m Livre,LARA FERREIRA DE SOUZA TONIN,Master,S/T
20/06/2026,UNAMI - Araras,200m Livre,ANA REGINA OLIVAN LIMONGI,Master,Ausente
20/06/2026,UNAMI - Araras,200m Livre,CLAUDIA COLAMARINO,Master,S/T
20/06/2026,UNAMI - Araras,200m Livre,RAFAEL MELLO,Master,S/T
20/09/2025,UNAMI - Gran São João Limeira,50m Livre,HELENA KIYOKA KOBAYASHI NABEIRO,Master,S/T
20/09/2025,UNAMI - Gran São João Limeira,400m Livre,RAFAEL HIROSHI BRAZ DA SILVA,Master,S/T
20/09/2025,UNAMI - Gran São João Limeira,50m Peito,LUCIANO DIAS GOBI,Master,S/T
20/09/2025,UNAMI - Gran São João Limeira,50m Costas,HELENA KIYOKA KOBAYASHI NABEIRO,Master,S/T
20/09/2025,UNAMI - Gran São João Limeira,100m Borboleta,RAFAEL HIROSHI BRAZ DA SILVA,Master,S/T
23/03/2024,UNAMI - Pirassununga,100m Borboleta,EDUARDO TREVISAN GONCALVES,Master,S/T
23/03/2024,UNAMI - Pirassununga,50m Costas,TIAGO BERNAL,Master,S/T
23/03/2024,UNAMI - Pirassununga,50m Livre,TALITA CLIOGIA BARBOSA,Master,DQL
23/03/2024,UNAMI - Pirassununga,50m Livre,HELOÍSA DE SOUSA EVANGELISTA,Master,S/T
23/03/2024,UNAMI - Pirassununga,50m Livre,CALEBE RAMOS RIBEIRO,Master,S/T
23/03/2024,UNAMI - Pirassununga,50m Livre,TIAGO BERNAL,Master,S/T
23/03/2024,UNAMI - Pirassununga,50m Livre,EDUARDO TREVISAN GONCALVES,Master,S/T
23/03/2024,UNAMI - Pirassununga,50m Livre,VOLKER PENK,Master,S/T
23/03/2024,UNAMI - Pirassununga,50m Peito,LUCIANO DIAS GOBI,Master,S/T
23/03/2024,UNAMI - Pirassununga,50m Peito,VOLKER PENK,Master,Ausente
23/03/2024,UNAMI - Pirassununga,50m Livre,LUCIANO DIAS GOBI,Master,S/T
23/03/2024,UNAMI - Pirassununga,50m Borboleta,TALITA CLIOGIA BARBOSA,Master,S/T
23/03/2024,UNAMI - Pirassununga,50m Borboleta,HELOÍSA DE SOUSA EVANGELISTA,Master,S/T
23/03/2024,UNAMI - Pirassununga,50m Borboleta,CALEBE RAMOS RIBEIRO,Master,S/T
23/03/2024,UNAMI - Pirassununga,50m Borboleta,LUCIANO DIAS GOBI,Master,S/T
23/11/2024,UNAMI - Americana,50m Livre Fem,HELOÍSA DE SOUSA EVANGELISTA,Master,36.55
23/11/2024,UNAMI - Americana,50m Livre Masc,VOLKER PENK,Master,33.50
23/11/2024,UNAMI - Americana,200m Peito Masc,CALEBE RAMOS RIBEIRO,Master,DQL
23/11/2024,UNAMI - Americana,200m Peito Masc,LUCIANO DIAS GOBI,Master,02:44.65
23/11/2024,UNAMI - Americana,50m Costas Masc,TIAGO BERNAL,Master,34.45
23/11/2024,UNAMI - Americana,100m Costas Fem,BRUNA LIMA VICENTE,Master,01:36.42
23/11/2024,UNAMI - Americana,100m Costas Masc,TIAGO BERNAL,Master,01:15.04
23/11/2024,UNAMI - Americana,50m Peito Fem,TALITA CLIOGIA BARBOSA,Master,46.10
23/11/2024,UNAMI - Americana,50m Peito Masc,LUCIANO DIAS GOBI,Master,S/T
23/11/2024,UNAMI - Americana,50m Peito Masc,LUCIANO DIAS GOBI,Master,32.41
23/11/2024,UNAMI - Americana,50m Peito Masc,VOLKER PENK,Master,Ausente
23/11/2024,UNAMI - Americana,50m Borboleta Fem,TALITA CLIOGIA BARBOSA,Master,48.38
23/11/2024,UNAMI - Americana,50m Borboleta Fem,HELOÍSA DE SOUSA EVANGELISTA,Master,42.61
23/11/2024,UNAMI - Americana,50m Borboleta Masc,CALEBE RAMOS RIBEIRO,Master,38.26
23/11/2024,UNAMI - Americana,50m Borboleta Masc,TIAGO BERNAL,Master,31.74
23/11/2024,UNAMI - Americana,200m Livre Fem,BRUNA LIMA VICENTE,Master,03:11.05
23/11/2024,UNAMI - Americana,200m Livre Masc,CALEBE RAMOS RIBEIRO,Master,02:56.95
25/10/2025,UNAMI - Santa Barbara D´Oeste,100m Medley,TALITA CLIOGIA BARBOSA,Master,S/T
25/10/2025,UNAMI - Santa Barbara D´Oeste,100m Medley,HELOÍSA DE SOUSA EVANGELISTA,Master,S/T
25/10/2025,UNAMI - Santa Barbara D´Oeste,100m Medley,ANA REGINA OLIVAN LIMONGI,Master,S/T
25/10/2025,UNAMI - Santa Barbara D´Oeste,100m Medley,RAFAEL HIROSHI BRAZ DA SILVA,Master,S/T
25/10/2025,UNAMI - Santa Barbara D´Oeste,50m Costas,HELENA KIYOKA KOBAYASHI NABEIRO,Master,S/T
25/10/2025,UNAMI - Santa Barbara D´Oeste,50m Livre,HELENA KIYOKA KOBAYASHI NABEIRO,Master,S/T
25/10/2025,UNAMI - Santa Barbara D´Oeste,50m Livre,CALEBE RAMOS RIBEIRO,Master,S/T
25/10/2025,UNAMI - Santa Barbara D´Oeste,50m Livre,RAFAEL HIROSHI BRAZ DA SILVA,Master,S/T
25/10/2025,UNAMI - Santa Barbara D´Oeste,100m Livre,HELOÍSA DE SOUSA EVANGELISTA,Master,S/T
25/10/2025,UNAMI - Santa Barbara D´Oeste,100m Livre,LARA FERREIRA DE SOUZA TONIN,Master,S/T
25/10/2025,UNAMI - Santa Barbara D´Oeste,100m Livre,HELENA KIYOKA KOBAYASHI NABEIRO,Master,S/T
25/10/2025,UNAMI - Santa Barbara D´Oeste,100m Livre,RAFAEL HIROSHI BRAZ DA SILVA,Master,S/T
25/10/2025,UNAMI - Santa Barbara D´Oeste,50m Peito,TALITA CLIOGIA BARBOSA,Master,S/T
25/10/2025,UNAMI - Santa Barbara D´Oeste,50m Peito,LARA FERREIRA DE SOUZA TONIN,Master,S/T
25/10/2025,UNAMI - Santa Barbara D´Oeste,50m Peito,ANA REGINA OLIVAN LIMONGI,Master,S/T
25/10/2025,UNAMI - Santa Barbara D´Oeste,50m Peito,CALEBE RAMOS RIBEIRO,Master,S/T
25/10/2025,UNAMI - Santa Barbara D´Oeste,50m Peito,LUCIANO DIAS GOBI,Master,S/T
25/10/2025,UNAMI - Santa Barbara D´Oeste,50m Peito,TIAGO BERNAL,Master,Ausente
25/10/2025,UNAMI - Santa Barbara D´Oeste,50m Borboleta,HELOÍSA DE SOUSA EVANGELISTA,Master,S/T
25/10/2025,UNAMI - Santa Barbara D´Oeste,50m Borboleta,CALEBE RAMOS RIBEIRO,Master,S/T
25/10/2025,UNAMI - Santa Barbara D´Oeste,200m Costas,TIAGO BERNAL,Master,Ausente
26/10/2024,UNAMI - Santa Barbara D´Oeste,50m Costas,BRUNA LIMA VICENTE,Master,S/T
26/10/2024,UNAMI - Santa Barbara D´Oeste,50m Livre,BRUNA LIMA VICENTE,Master,S/T
26/10/2024,UNAMI - Santa Barbara D´Oeste,50m Borboleta,HELOÍSA DE SOUSA EVANGELISTA,Master,S/T
26/10/2024,UNAMI - Santa Barbara D´Oeste,50m Borboleta,CALEBE RAMOS RIBEIRO,Master,S/T
26/10/2024,UNAMI - Santa Barbara D´Oeste,100m Livre,BRUNA LIMA VICENTE,Master,DQL
26/10/2024,UNAMI - Santa Barbara D´Oeste,100m Livre,CALEBE RAMOS RIBEIRO,Master,S/T
26/10/2024,UNAMI - Santa Barbara D´Oeste,100m Livre,TIAGO BERNAL,Master,S/T
26/10/2024,UNAMI - Santa Barbara D´Oeste,50m Livre,LUCIANO DIAS GOBI,Master,S/T
26/10/2024,UNAMI - Santa Barbara D´Oeste,200m Medley,HELOÍSA DE SOUSA EVANGELISTA,Master,S/T
26/10/2024,UNAMI - Santa Barbara D´Oeste,200m Medley,TIAGO BERNAL,Master,S/T
26/10/2024,UNAMI - Santa Barbara D´Oeste,25m Peito,CALEBE RAMOS RIBEIRO,Master,S/T
26/10/2024,UNAMI - Santa Barbara D´Oeste,25m Peito,LUCIANO DIAS GOBI,Master,S/T
27/04/2024,UNAMI - Gran São João Limeira,50m Peito,TALITA CLIOGIA BARBOSA,Master,S/T
27/04/2024,UNAMI - Gran São João Limeira,25m Peito,CALEBE RAMOS RIBEIRO,Master,S/T
27/04/2024,UNAMI - Gran São João Limeira,25m Peito,LUCIANO DIAS GOBI,Master,S/T
27/04/2024,UNAMI - Gran São João Limeira,400m Livre,BRUNA LIMA VICENTE,Master,S/T
27/04/2024,UNAMI - Gran São João Limeira,400m Livre,HELOÍSA DE SOUSA EVANGELISTA,Master,S/T
27/04/2024,UNAMI - Gran São João Limeira,50m Borboleta,CALEBE RAMOS RIBEIRO,Master,S/T
27/04/2024,UNAMI - Gran São João Limeira,50m Borboleta,EDUARDO TREVISAN GONCALVES,Master,S/T
27/04/2024,UNAMI - Gran São João Limeira,200m Medley,TIAGO BERNAL,Master,S/T
27/04/2024,UNAMI - Gran São João Limeira,200m Medley,EDUARDO TREVISAN GONCALVES,Master,S/T
27/04/2024,UNAMI - Gran São João Limeira,50m Borboleta,TALITA CLIOGIA BARBOSA,Master,S/T
27/04/2024,UNAMI - Gran São João Limeira,50m Borboleta,HELOÍSA DE SOUSA EVANGELISTA,Master,S/T
27/04/2024,UNAMI - Gran São João Limeira,400m Livre,VOLKER PENK,Master,S/T
27/04/2024,UNAMI - Gran São João Limeira,50m Livre,TALITA CLIOGIA BARBOSA,Master,S/T
27/04/2024,UNAMI - Gran São João Limeira,50m Livre,CALEBE RAMOS RIBEIRO,Master,S/T
27/04/2024,UNAMI - Gran São João Limeira,100m Peito,VOLKER PENK,Master,S/T
27/04/2024,UNAMI - Gran São João Limeira,50m Costas,BRUNA LIMA VICENTE,Master,S/T
27/04/2024,UNAMI - Gran São João Limeira,25m Costas,TIAGO BERNAL,Master,Ausente
30/08/2025,UNAMI - Nosso Clube Limeira,200m Peito,LARA FERREIRA DE SOUZA TONIN,Master,S/T
30/08/2025,UNAMI - Nosso Clube Limeira,200m Peito,ANA REGINA OLIVAN LIMONGI,Master,S/T
30/08/2025,UNAMI - Nosso Clube Limeira,200m Peito,EDUARDO TREVISAN GONCALVES,Master,S/T
30/08/2025,UNAMI - Nosso Clube Limeira,50m Costas,HELENA KIYOKA KOBAYASHI NABEIRO,Master,S/T
30/08/2025,UNAMI - Nosso Clube Limeira,50m Borboleta,ANA REGINA OLIVAN LIMONGI,Master,S/T
30/08/2025,UNAMI - Nosso Clube Limeira,50m Borboleta,CALEBE RAMOS RIBEIRO,Master,S/T
30/08/2025,UNAMI - Nosso Clube Limeira,50m Borboleta,EDUARDO TREVISAN GONCALVES,Master,S/T
30/08/2025,UNAMI - Nosso Clube Limeira,100m Medley,MARIANE DE MORAES QUIRINO,Master,S/T
30/08/2025,UNAMI - Nosso Clube Limeira,100m Medley,LARA FERREIRA DE SOUZA TONIN,Master,S/T
30/08/2025,UNAMI - Nosso Clube Limeira,100m Medley,ANA REGINA OLIVAN LIMONGI,Master,Ausente
30/08/2025,UNAMI - Nosso Clube Limeira,100m Medley,HELENA KIYOKA KOBAYASHI NABEIRO,Master,S/T
30/08/2025,UNAMI - Nosso Clube Limeira,100m Medley,CALEBE RAMOS RIBEIRO,Master,S/T
30/08/2025,UNAMI - Nosso Clube Limeira,50m Livre,MARIANE DE MORAES QUIRINO,Master,S/T
30/08/2025,UNAMI - Nosso Clube Limeira,50m Livre,HELENA KIYOKA KOBAYASHI NABEIRO,Master,S/T
30/08/2025,UNAMI - Nosso Clube Limeira,50m Livre,CALEBE RAMOS RIBEIRO,Master,S/T
30/08/2025,UNAMI - Nosso Clube Limeira,50m Peito,MARIANE DE MORAES QUIRINO,Master,S/T
30/08/2025,UNAMI - Nosso Clube Limeira,25m Peito,LUCIANO DIAS GOBI,Master,S/T
